Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Traffic_Type,Label
10.152.152.11-74.125.136.120-49132-443-6,10.152.152.11,49132,74.125.136.120,443,6,24/07/2015 04:09:49 PM,90513641,32,41,3369,21725,261,0,105.28125,110.5540984,1460,0,529.8780488,618.9462091,277.2399798,0.80650827,1257133.903,7451707.33,45055648,5,90513169,2919779.645,11242855.25,45056049,276,90513350,2262833.75,9937669.645,45056120,5,1,0,0,0,640,820,0.353537872,0.452970398,0,1460,342.6351351,509.4929678,259583.0842,0,0,0,34,73,0,0,0,1,347.3287671,105.28125,529.8780488,0,0,0,0,45,56568,0,46,0,297,2640,1918,20,20,0,0,0,0,1437760000000000.0,12970217.86,1437770000000000.0,1437760000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/2015 04:10:06 PM,106135081,30,30,22289,680,1460,0,742.9666667,684.4798923,186,0,22.66666667,46.09011663,216.4128937,0.565317324,1798899.678,8368478.618,45039110,13,106134649,3659815.483,11748065.88,45039483,49,106134727,3659818.172,11747975.82,45039328,13,0,0,0,0,600,600,0.282658662,0.282658662,0,1460,400.4754098,613.3549436,376204.2869,0,0,0,20,60,0,0,0,1,407.15,742.9666667,22.66666667,0,0,0,0,14,11207,0,371,0,11,2640,2970,20,20,0,0,0,0,1437770000000000.0,31153375.67,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:09:55 PM,90112487,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.066583447,18022497.4,24677726.19,45055666,392,90112018,45056009.0,69.29646456,45056058,45055960,90112045,45056022.5,159.0990258,45056135,45055910,0,0,0,0,60,60,0.033291724,0.033291724,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437770000000000.0,36787576.79,1437770000000000.0,1437760000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.118-41313-443-6,10.152.152.11,41313,173.194.33.118,443,6,24/07/2015 04:10:01 PM,86022308,9,9,2879,1060,1460,0,319.8888889,598.0304015,498,0,117.7777778,215.3397187,45.79044775,0.209248048,5060135.765,14121174.02,45055326,16,86021950,10752743.75,19643165.84,45055941,45,86021693,10752711.63,19642968.75,45055851,16,0,0,0,0,180,180,0.104624024,0.104624024,0,1460,207.3157895,438.5126443,192293.3392,0,0,0,6,18,0,0,0,1,218.8333333,319.8888889,117.7777778,0,0,0,0,7,3848,0,159,0,58,14626,5386,4,20,0,0,0,0,1437770000000000.0,24283926.47,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.132-41995-443-6,10.152.152.11,41995,74.125.136.132,443,6,24/07/2015 04:09:49 PM,101242010,18,18,1490,3970,485,0,82.77777778,126.189193,1213,0,220.5555556,355.675864,53.93018175,0.355583616,2892628.857,10611580.71,45120787,17,101241749,5955397.0,14829528.82,45121069,638,101241815,5955400.882,14829389.5,45121048,598,1,0,0,0,360,360,0.177791808,0.177791808,0,1213,149.8648649,268.5590316,72123.95345,0,0,0,16,36,0,0,0,1,154.0277778,82.77777778,220.5555556,0,0,0,0,5,3867,0,41,0,110,1892,1248,9,20,0,0,0,0,1437770000000000.0,20716782.65,1437770000000000.0,1437760000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57157-443-6,10.152.152.11,57157,216.58.220.99,443,6,24/07/2015 04:09:49 PM,104050917,27,32,5119,1751,693,0,189.5925926,239.0750219,207,0,54.71875,80.29190068,66.02536718,0.567030082,1793981.328,7175783.686,45045224,14,104050582,4001945.462,10402819.52,45045533,320,104050660,3356472.903,9616919.221,45045559,217,1,0,0,0,540,640,0.259488343,0.307541739,0,693,126.05,196.5464041,38630.48898,0,0,0,31,59,0,0,0,1,128.1864407,189.5925926,54.71875,0,0,0,0,7,1306,0,86,0,29,2640,2598,18,20,0,0,0,0,1437770000000000.0,25545709.82,1437770000000000.0,1437760000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.149-45258-443-6,10.152.152.11,45258,173.194.65.149,443,6,24/07/2015 04:10:04 PM,90586766,6,7,383,324,245,0,63.83333333,94.97245215,255,0,46.28571429,95.55925611,7.804672042,0.143508821,7548897.167,17511414.41,45055570,165,90586197,18117239.4,24575651.0,45056003,726,90586276,15097712.67,23206874.97,45057901,401,1,0,0,0,120,140,0.066234841,0.077273981,0,255,68.0,101.7621662,10355.53846,0,0,0,5,13,0,0,0,1,73.23076923,63.83333333,46.28571429,0,0,0,0,5,1495,0,29,0,24,2257,1204,2,20,0,0,0,0,1437770000000000.0,30456672.29,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.102-47874-443-6,10.152.152.11,47874,173.194.65.102,443,6,24/07/2015 04:10:10 PM,90104287,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.066589506,18020857.4,24675569.69,45055618,265,90104022,45052011.0,5631.398405,45055993,45048029,90103819,45051909.5,5619.37759,45055883,45047936,0,0,0,0,60,60,0.033294753,0.033294753,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2075,1114,0,20,0,0,0,0,1437770000000000.0,36784315.78,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.101-47698-443-6,10.152.152.11,47698,173.194.65.101,443,6,24/07/2015 04:10:11 PM,90112415,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0665835,18022483.0,24677763.07,45055623,348,90112003,45056001.5,57.27564928,45056042,45055961,90111996,45055998.0,38.18376618,45056025,45055971,0,0,0,0,60,60,0.03329175,0.03329175,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2640,1959,0,20,0,0,0,0,1437770000000000.0,36787615.98,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57468-443-6,10.152.152.11,57468,173.194.65.138,443,6,24/07/2015 04:09:59 PM,104202473,40,50,13968,23958,1460,0,349.2,561.6930086,1460,0,479.16,588.1949337,363.9644906,0.86370311,1170814.303,6805568.779,45055689,9,104202170,2671850.513,10156040.98,45056027,42,104202026,2126571.959,9101590.757,45055992,9,1,0,0,0,800,1000,0.383868049,0.479835061,0,1460,420.1648352,573.9238483,329388.5836,0,0,0,33,90,0,0,0,1,424.8333333,349.2,479.16,0,0,0,0,24,16464,0,155,0,266,2640,2640,20,20,0,0,0,0,1437770000000000.0,14268148.15,1437770000000000.0,1437760000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57457-443-6,10.152.152.11,57457,173.194.65.138,443,6,24/07/2015 04:10:25 PM,90176018,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.066536538,18035203.6,24695156.5,45119089,353,90175602,45087801.0,44936.63594,45119576,45056026,90175531,45087765.5,44797.33591,45119442,45056089,0,0,0,0,60,60,0.033268269,0.033268269,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1181,2142,0,20,0,0,0,0,1437770000000000.0,36813552.86,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.102-47874-443-6,10.152.152.11,47874,173.194.65.102,443,6,24/07/2015 04:12:25 PM,59904266,2,4,0,154,0,0,0.0,0.0,154,0,38.5,77.0,2.570768499,0.100159812,11980853.2,19575353.7,45055748,77,45056024,45056024.0,0.0,45056024,45056024,59903990,19967996.67,22960167.98,45055961,77,0,0,0,0,40,80,0.033386604,0.066773208,0,154,22.0,58.20652884,3388.0,1,0,0,1,6,0,0,0,2,25.66666667,0.0,38.5,0,0,0,0,0,0,0,0,0,25,2075,1114,0,20,0,0,0,0,1437770000000000.0,31195282.74,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.101-47698-443-6,10.152.152.11,47698,173.194.65.101,443,6,24/07/2015 04:12:26 PM,59650091,3,3,0,154,0,0,0.0,0.0,154,0,51.33333333,88.91194146,2.581722801,0.100586603,11930018.2,19566058.47,45055596,393,59650091,29825045.5,21539806.87,45055989,14594102,59648604,29824302.0,21540950.26,45056054,14592550,0,0,0,0,60,60,0.050293301,0.050293301,0,154,22.0,58.20652884,3388.0,1,0,0,1,6,0,0,0,1,25.66666667,0.0,51.33333333,0,0,0,0,0,0,0,0,0,25,2640,1959,0,20,0,0,0,0,1437770000000000.0,31093221.97,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57457-443-6,10.152.152.11,57457,173.194.65.138,443,6,24/07/2015 04:12:40 PM,59690811,2,4,0,154,0,0,0.0,0.0,154,0,38.5,77.0,2.579961596,0.100517984,11938162.2,19567640.3,45055573,81,45056011,45056011.0,0.0,45056011,45056011,59690373,19896791.0,22984292.63,45055945,81,0,0,0,0,40,80,0.033505995,0.06701199,0,154,22.0,58.20652884,3388.0,1,0,0,1,6,0,0,0,2,25.66666667,0.0,38.5,0,0,0,0,0,0,0,0,0,25,1181,2142,0,20,0,0,0,0,1437770000000000.0,31109887.87,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/2015 04:11:48 PM,119951935,304,311,169583,26564,1460,0,557.8388158,607.1115814,996,0,85.414791,179.779484,1635.213304,5.127053599,195361.4577,740408.0112,7159955,3,119951799,395880.5248,1019675.263,7160182,22,119951704,386940.9806,1006941.756,7160274,7,0,0,0,0,6080,6220,2.534348446,2.592705153,0,1460,320.7905844,505.7564149,255789.5512,0,0,0,242,615,0,0,0,1,321.3121951,557.8388158,85.414791,0,0,0,0,13,4228,0,275,0,43,21142,8323,215,20,0,0,0,0,1437770000000000.0,35633524.44,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.120-49132-443-6,10.152.152.11,49132,74.125.136.120,443,6,24/07/2015 04:12:05 PM,104786818,4,4,0,154,0,0,0.0,0.0,154,0,38.5,77.0,1.469650505,0.076345481,14969545.43,21239634.19,45055825,251,104786818,34928939.33,17540642.5,45056076,14674750,104785618,34928539.33,17541502.46,45056200,14673357,0,0,0,0,80,80,0.03817274,0.03817274,0,154,17.11111111,51.33333333,2635.111111,1,0,0,1,8,0,0,0,1,19.25,0.0,38.5,0,0,0,0,0,0,0,0,0,19,2640,1918,0,20,0,0,0,0,1437770000000000.0,41575415.64,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/2015 04:11:48 PM,111585868,247,235,13451,124332,1460,0,54.45748988,118.634564,1460,0,529.0723404,583.6364991,1234.771055,4.319543403,231987.2516,1205828.41,13338817,6,111549551,453453.4593,1658215.308,13339032,6,111585798,476862.3846,1700700.72,13339242,20,0,0,0,0,4940,4700,2.213541951,2.106001452,0,1460,288.2877847,481.3378292,231686.1058,0,0,0,205,482,0,0,0,0,288.8858921,54.45748988,529.0723404,0,0,0,0,20,4245,0,27,0,257,9520,9520,93,20,0,0,0,0,1440000000000000.0,35660221.15,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:12:00 PM,119997944,3494,3180,187488,492160,175,0,53.65998855,50.58561172,1184,0,154.7672956,196.9647599,5663.830374,55.61761958,17982.60812,18423.26926,125670,18,119995436,34353.11652,26071.09696,141392,104,119937453,37728.04435,23920.13165,133509,176,0,0,0,0,69880,63600,29.11716554,26.50045404,0,1184,101.8199251,149.5658964,22369.95738,0,0,0,4160,6674,0,0,0,0,101.8351813,53.65998855,154.7672956,0,0,0,0,4160,5666,0,28,0,73,5292,5292,2381,20,0,0,0,0,1437770000000000.0,34537394.03,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.132-41995-443-6,10.152.152.11,41995,74.125.136.132,443,6,24/07/2015 04:12:15 PM,104732111,3,5,0,154,0,0,0.0,0.0,154,0,30.8,68.87089371,1.47041818,0.07638536,14961730.14,21239940.6,45056115,68,90112545,45056272.5,376.8879144,45056539,45056006,104731761,26182940.25,22595513.44,45056502,68,0,0,0,0,60,100,0.02864451,0.04774085,0,154,17.11111111,51.33333333,2635.111111,1,0,0,1,8,0,0,0,1,19.25,0.0,30.8,0,0,0,0,0,0,0,0,0,19,2640,1248,0,20,0,0,0,0,1437770000000000.0,41560022.59,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.149-45258-443-6,10.152.152.11,45258,173.194.65.149,443,6,24/07/2015 04:12:20 PM,104786006,4,5,0,154,0,0,0.0,0.0,154,0,30.8,68.87089371,1.469661894,0.085889331,13098250.75,20363805.87,45055732,30,104785976,34928658.67,17541014.31,45056085,14674040,104785454,26196363.5,22586095.76,45056350,124,0,0,0,0,80,100,0.038173036,0.047716295,0,154,15.4,48.69907597,2371.6,1,0,0,1,9,0,0,0,1,17.11111111,0.0,30.8,0,0,0,0,0,0,0,0,0,17,2440,1204,0,20,0,0,0,0,1437770000000000.0,39566697.68,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/2015 04:12:06 PM,90958081,9,9,3828,340,1460,0,425.3333333,618.1824164,271,0,37.77777778,90.38636205,45.82330623,0.197893357,5350475.353,14950897.59,45120268,19,90957550,11369693.75,20802072.92,45120563,154,90957683,11369710.38,20801998.44,45120799,19,0,0,0,0,180,180,0.098946679,0.098946679,0,1460,296.2105263,538.9341929,290450.0643,0,0,0,6,18,0,0,0,1,312.6666667,425.3333333,37.77777778,0,0,0,0,7,5110,0,212,0,18,2640,2970,4,20,0,0,0,0,1440000000000000.0,26190465.92,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57468-443-6,10.152.152.11,57468,173.194.65.138,443,6,24/07/2015 04:12:28 PM,104887796,3,5,0,154,0,0,0.0,0.0,154,0,30.8,68.87089371,1.468235637,0.076271981,14983970.86,21239420.16,45055613,94,90111963,45055981.5,88.38834765,45056044,45055919,104887351,26221837.75,22568804.34,45056052,94,0,0,0,0,60,100,0.028601993,0.047669988,0,154,17.11111111,51.33333333,2635.111111,1,0,0,1,8,0,0,0,1,19.25,0.0,30.8,0,0,0,0,0,0,0,0,0,19,2640,2640,0,20,0,0,0,0,1437770000000000.0,41604606.51,1437770000000000.0,1440000000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.118-41313-443-6,10.152.152.11,41313,173.194.33.118,443,6,24/07/2015 04:12:12 PM,75987458,10,10,2879,1060,1460,0,287.9,572.8310688,583,0,106.0,197.7574272,51.83750192,0.26320133,3999339.895,12071082.19,45055553,14,75987143,8443015.889,16901351.32,45055996,40,75987015,8443001.667,16901193.57,45055912,21,0,0,0,0,200,200,0.131600665,0.131600665,0,1460,187.5714286,418.7822312,175378.5571,0,0,0,7,20,0,0,0,1,196.95,287.9,106.0,0,0,0,0,8,3965,0,143,0,53,14626,5386,4,20,0,0,0,0,1437770000000000.0,19595021.38,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/2015 04:11:57 PM,118129838,19,18,2657,4649,758,0,139.8421053,210.7840557,1460,0,258.2777778,482.8844467,61.8472024,0.313214685,3281384.389,8568703.678,29708801,19,118091906,6560661.444,11337740.78,29708890,90,118091929,6946584.059,11562845.51,29708902,166,1,0,0,0,380,360,0.160839973,0.152374712,0,1460,194.5,364.1251455,132587.1216,0,0,0,17,37,0,0,0,0,199.7567568,139.8421053,258.2777778,0,0,0,0,7,3792,0,71,0,125,2640,3346,11,20,0,0,0,0,1437770000000000.0,23025020.03,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/2015 04:12:10 PM,90112420,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.066583497,18022484.0,24677783.15,45055669,320,90112024,45056012.0,32.52691193,45056035,45055989,90112100,45056050.0,57.98275606,45056091,45056009,0,0,0,0,60,60,0.033291748,0.033291748,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1437770000000000.0,36787604.55,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57157-443-6,10.152.152.11,57157,216.58.220.99,443,6,24/07/2015 04:12:19 PM,90112353,3,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.066583546,18022470.6,24677857.46,45055719,278,90112014,45056007.0,14.14213562,45056017,45055997,90112075,45056037.5,0.707106781,45056038,45056037,0,0,0,0,60,60,0.033291773,0.033291773,0,0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2640,2598,0,20,0,0,0,0,1437770000000000.0,36787702.53,1437770000000000.0,1437770000000000.0,Non-Tor,AUDIO-STREAMING
